anio,mes,Produccion,empleados,establecimientos,sector_Textil,Produccion_predicha,mes_num,fecha,Sector
2005,noviembre,,269,2,False,1756204,11,2005-11-01,Pesquera (Azul)
2005,diciembre,,41,1,False,1330415,12,2005-12-01,Pesquera (Azul)
2005,diciembre,,587,7,True,2635794,12,2005-12-01,Textil (naranja)
2006,enero,,285,2,False,1725508,01,2006-01-01,Pesquera (Azul)
2006,enero,,585,8,True,2611025,01,2006-01-01,Textil (naranja)
2006,febrero,,283,2,False,1722095,02,2006-02-01,Pesquera (Azul)
2006,febrero,,579,8,True,2600785,02,2006-02-01,Textil (naranja)
2006,marzo,,574,8,True,2592251,03,2006-03-01,Textil (naranja)
2006,marzo,,297,2,False,1745989,03,2006-03-01,Pesquera (Azul)
2006,abril,,304,2,False,1757937,04,2006-04-01,Pesquera (Azul)
2006,abril,,557,8,True,2563236,04,2006-04-01,Textil (naranja)
2006,mayo,,312,2,False,1771591,05,2006-05-01,Pesquera (Azul)
2006,mayo,,558,8,True,2564943,05,2006-05-01,Textil (naranja)
2006,junio,,307,2,False,1763057,06,2006-06-01,Pesquera (Azul)
2006,junio,,561,8,True,2570063,06,2006-06-01,Textil (naranja)
2006,julio,,306,2,False,1761350,07,2006-07-01,Pesquera (Azul)
2006,julio,,567,8,True,2580304,07,2006-07-01,Textil (naranja)
2006,agosto,,306,2,False,1761350,08,2006-08-01,Pesquera (Azul)
2006,agosto,,567,8,True,2580304,08,2006-08-01,Textil (naranja)
2006,septiembre,,301,2,False,1752816,09,2006-09-01,Pesquera (Azul)
2006,septiembre,,576,8,True,2595665,09,2006-09-01,Textil (naranja)
2006,octubre,,304,2,False,1757937,10,2006-10-01,Pesquera (Azul)
2006,octubre,,596,8,True,2629800,10,2006-10-01,Textil (naranja)
2006,noviembre,,295,2,False,1742576,11,2006-11-01,Pesquera (Azul)
2006,noviembre,,600,8,True,2636627,11,2006-11-01,Textil (naranja)
2006,diciembre,,619,8,True,2669055,12,2006-12-01,Textil (naranja)
2006,diciembre,,279,2,False,1715268,12,2006-12-01,Pesquera (Azul)
2007,enero,,286,2,False,1669211,01,2007-01-01,Pesquera (Azul)
2007,enero,,613,8,True,2600810,01,2007-01-01,Textil (naranja)
2007,febrero,,286,2,False,1669211,02,2007-02-01,Pesquera (Azul)
2007,febrero,,616,8,True,2605931,02,2007-02-01,Textil (naranja)
2007,marzo,,294,2,False,1682865,03,2007-03-01,Pesquera (Azul)
2007,marzo,,609,8,True,2593983,03,2007-03-01,Textil (naranja)
2007,abril,,616,8,True,2605931,04,2007-04-01,Textil (naranja)
2007,abril,,292,2,False,1679451,04,2007-04-01,Pesquera (Azul)
2007,mayo,,295,2,False,1684572,05,2007-05-01,Pesquera (Azul)
2007,mayo,,617,8,True,2607637,05,2007-05-01,Textil (naranja)
2007,junio,,296,2,False,1686278,06,2007-06-01,Pesquera (Azul)
2007,junio,,613,8,True,2600810,06,2007-06-01,Textil (naranja)
2007,julio,,292,2,False,1679451,07,2007-07-01,Pesquera (Azul)
2007,julio,,607,8,True,2590570,07,2007-07-01,Textil (naranja)
2007,agosto,,615,8,True,2604224,08,2007-08-01,Textil (naranja)
2007,agosto,,293,2,False,1681158,08,2007-08-01,Pesquera (Azul)
2007,septiembre,,621,8,True,2614465,09,2007-09-01,Textil (naranja)
2007,septiembre,,295,2,False,1684572,09,2007-09-01,Pesquera (Azul)
2007,octubre,,292,2,False,1679451,10,2007-10-01,Pesquera (Azul)
2007,octubre,,627,8,True,2624705,10,2007-10-01,Textil (naranja)
2007,noviembre,,271,2,False,1643610,11,2007-11-01,Pesquera (Azul)
2007,noviembre,,635,8,True,2638359,11,2007-11-01,Textil (naranja)
2007,diciembre,,22,1,False,1181978,12,2007-12-01,Pesquera (Azul)
2007,diciembre,,623,7,True,2581229,12,2007-12-01,Textil (naranja)
2008,enero,,316,2,False,1662410,01,2008-01-01,Pesquera (Azul)
2008,enero,,639,8,True,2587182,01,2008-01-01,Textil (naranja)
2008,febrero,,639,8,True,2587182,02,2008-02-01,Textil (naranja)
2008,febrero,,378,3,False,1804877,02,2008-02-01,Pesquera (Azul)
2008,marzo,,454,4,False,1971240,03,2008-03-01,Pesquera (Azul)
2008,marzo,,628,8,True,2568408,03,2008-03-01,Textil (naranja)
2008,abril,,557,5,False,2183685,04,2008-04-01,Pesquera (Azul)
2008,abril,,634,8,True,2578648,04,2008-04-01,Textil (naranja)
2008,mayo,,543,5,False,2159790,05,2008-05-01,Pesquera (Azul)
2008,mayo,,645,8,True,2597423,05,2008-05-01,Textil (naranja)
2008,junio,,616,8,True,2547927,06,2008-06-01,Textil (naranja)
2008,junio,,554,5,False,2178565,06,2008-06-01,Pesquera (Azul)
2008,julio,,544,5,False,2161497,07,2008-07-01,Pesquera (Azul)
2008,julio,,621,8,True,2556460,07,2008-07-01,Textil (naranja)
2008,agosto,,509,5,False,2101761,08,2008-08-01,Pesquera (Azul)
2008,agosto,,619,8,True,2553047,08,2008-08-01,Textil (naranja)
2008,septiembre,,500,5,False,2086400,09,2008-09-01,Pesquera (Azul)
2008,septiembre,,619,8,True,2553047,09,2008-09-01,Textil (naranja)
2008,octubre,,514,5,False,2110294,10,2008-10-01,Pesquera (Azul)
2008,octubre,,618,8,True,2551340,10,2008-10-01,Textil (naranja)
2008,noviembre,,487,5,False,2064212,11,2008-11-01,Pesquera (Azul)
2008,noviembre,,623,8,True,2559874,11,2008-11-01,Textil (naranja)
2008,diciembre,,482,4,False,2019029,12,2008-12-01,Pesquera (Azul)
2008,diciembre,,612,7,True,2504451,12,2008-12-01,Textil (naranja)
2009,enero,,501,4,False,1993453,01,2009-01-01,Pesquera (Azul)
2009,enero,,622,8,True,2500163,01,2009-01-01,Textil (naranja)
2009,febrero,,489,4,False,1972972,02,2009-02-01,Pesquera (Azul)
2009,febrero,,629,8,True,2512110,02,2009-02-01,Textil (naranja)
2009,marzo,,619,8,True,2495043,03,2009-03-01,Textil (naranja)
2009,marzo,,496,4,False,1984920,03,2009-03-01,Pesquera (Azul)
2009,abril,,497,4,False,1986626,04,2009-04-01,Pesquera (Azul)
2009,abril,,609,8,True,2477975,04,2009-04-01,Textil (naranja)
2009,mayo,,496,4,False,1984920,05,2009-05-01,Pesquera (Azul)
2009,mayo,,613,8,True,2484802,05,2009-05-01,Textil (naranja)
2009,junio,,516,4,False,2019055,06,2009-06-01,Pesquera (Azul)
2009,junio,,619,8,True,2495043,06,2009-06-01,Textil (naranja)
2009,julio,,610,8,True,2479682,07,2009-07-01,Textil (naranja)
2009,julio,,527,4,False,2037829,07,2009-07-01,Pesquera (Azul)
2009,agosto,,507,4,False,2003694,08,2009-08-01,Pesquera (Azul)
2009,agosto,,605,8,True,2471148,08,2009-08-01,Textil (naranja)
2009,septiembre,,508,4,False,2005401,09,2009-09-01,Pesquera (Azul)
2009,septiembre,,604,8,True,2469442,09,2009-09-01,Textil (naranja)
2009,octubre,,510,4,False,2008814,10,2009-10-01,Pesquera (Azul)
2009,octubre,,616,8,True,2489923,10,2009-10-01,Textil (naranja)
2009,noviembre,,618,8,True,2493336,11,2009-11-01,Textil (naranja)
2009,noviembre,,481,4,False,1959318,11,2009-11-01,Pesquera (Azul)
2009,diciembre,,616,7,True,2453274,12,2009-12-01,Textil (naranja)
2009,diciembre,,540,4,False,2060017,12,2009-12-01,Pesquera (Azul)
2010,enero,,500,4,False,1933743,01,2010-01-01,Pesquera (Azul)
2010,enero,,627,8,True,2450693,01,2010-01-01,Textil (naranja)
2010,febrero,,504,4,False,1940570,02,2010-02-01,Pesquera (Azul)
2010,febrero,,623,8,True,2443866,02,2010-02-01,Textil (naranja)
2010,marzo,,476,4,False,1892781,03,2010-03-01,Pesquera (Azul)
2010,marzo,,638,8,True,2469467,03,2010-03-01,Textil (naranja)
2010,abril,,502,4,False,1937156,04,2010-04-01,Pesquera (Azul)
2010,abril,,643,8,True,2478001,04,2010-04-01,Textil (naranja)
2010,mayo,,486,4,False,1909848,05,2010-05-01,Pesquera (Azul)
2010,mayo,,654,8,True,2496775,05,2010-05-01,Textil (naranja)
2010,junio,,546,4,False,2012253,06,2010-06-01,Pesquera (Azul)
2010,junio,,649,8,True,2488242,06,2010-06-01,Textil (naranja)
2010,julio,,521,4,False,1969585,07,2010-07-01,Pesquera (Azul)
2010,julio,,650,8,True,2489948,07,2010-07-01,Textil (naranja)
2010,agosto,,503,4,False,1938863,08,2010-08-01,Pesquera (Azul)
2010,agosto,,645,8,True,2481415,08,2010-08-01,Textil (naranja)
