anio,mes,sector,establecimientos
2012,noviembre,Electronica,27
2012,diciembre,Electronica,27
2013,enero,Electronica,27
2013,febrero,Electronica,27
2013,marzo,Electronica,27
2013,abril,Electronica,27
2013,mayo,Electronica,27
2013,junio,Electronica,27
2013,julio,Electronica,27
2013,agosto,Electronica,27
2013,septiembre,Electronica,27
2013,octubre,Electronica,27
2013,noviembre,Electronica,27
2013,diciembre,Electronica,27
2014,enero,Electronica,27
2014,febrero,Electronica,27
2014,marzo,Electronica,27
2014,abril,Electronica,27
2014,mayo,Electronica,27
2014,junio,Electronica,27
2014,julio,Electronica,27
2014,agosto,Electronica,27
2014,septiembre,Electronica,27
2014,octubre,Electronica,27
2014,noviembre,Electronica,28
2014,diciembre,Electronica,28
2015,enero,Electronica,28
2015,febrero,Electronica,28
2015,marzo,Electronica,28
2015,abril,Electronica,28
2015,mayo,Electronica,28
2015,junio,Electronica,28
2015,julio,Electronica,28
2015,agosto,Electronica,28
2015,septiembre,Electronica,28
2015,octubre,Electronica,28
2015,noviembre,Electronica,28
2015,diciembre,Electronica,28
2016,enero,Electronica,28
2016,febrero,Electronica,28
2016,marzo,Electronica,28
2016,abril,Electronica,28
2016,mayo,Electronica,28
2016,junio,Electronica,28
2016,julio,Electronica,28
2016,agosto,Electronica,28
2016,septiembre,Electronica,28
2016,octubre,Electronica,28
2016,noviembre,Electronica,28
2016,diciembre,Electronica,28
2017,enero,Electronica,27
2017,febrero,Electronica,28
2017,marzo,Electronica,28
2017,abril,Electronica,28
2017,mayo,Electronica,28
2017,junio,Electronica,28
2017,julio,Electronica,27
2017,agosto,Electronica,28
2017,septiembre,Electronica,28
2017,octubre,Electronica,27
2017,noviembre,Electronica,27
2017,diciembre,Electronica,27
2018,enero,Electronica,27
2018,febrero,Electronica,27
2018,marzo,Electronica,27
2018,abril,Electronica,26
2018,mayo,Electronica,28
2018,junio,Electronica,26
2018,julio,Electronica,26
2018,agosto,Electronica,26
2018,septiembre,Electronica,25
2018,octubre,Electronica,25
2018,noviembre,Electronica,25
2018,diciembre,Electronica,25
2019,enero,Electronica,25
2019,febrero,Electronica,25
2019,marzo,Electronica,24
2019,abril,Electronica,24
2019,mayo,Electronica,24
2019,junio,Electronica,24
2019,julio,Electronica,24
2019,agosto,Electronica,24
2019,septiembre,Electronica,24
2019,octubre,Electronica,24
2019,noviembre,Electronica,24
2019,diciembre,Electronica,24
2020,enero,Electronica,24
2020,febrero,Electronica,23
2020,marzo,Electronica,23
2020,abril,Electronica,23
2020,mayo,Electronica,23
2020,junio,Electronica,23
2020,julio,Electronica,24
2020,agosto,Electronica,24
2020,septiembre,Electronica,24
2020,octubre,Electronica,24
2020,noviembre,Electronica,23
2020,diciembre,Electronica,23
2021,enero,Electronica,23
2021,febrero,Electronica,22
2021,marzo,Electronica,23
2021,abril,Electronica,23
2021,mayo,Electronica,23
2021,junio,Electronica,23
2021,julio,Electronica,24
2021,agosto,Electronica,24
2021,septiembre,Electronica,24
2021,octubre,Electronica,24
2021,noviembre,Electronica,24
2021,diciembre,Electronica,24
2022,enero,Electronica,22
2022,febrero,Electronica,22
2022,marzo,Electronica,22
2022,abril,Electronica,22
2022,mayo,Electronica,22
2022,junio,Electronica,22
2022,julio,Electronica,22
2022,agosto,Electronica,22
2022,septiembre,Electronica,22
2022,octubre,Electronica,22
2022,noviembre,Electronica,20
2022,diciembre,Electronica,20
2023,enero,Electronica,20
2023,febrero,Electronica,20
2023,marzo,Electronica,20
2023,abril,Electronica,20
2023,mayo,Electronica,20
2023,junio,Electronica,20
2023,julio,Electronica,20
2023,agosto,Electronica,18
2023,septiembre,Electronica,18
2023,octubre,Electronica,19
2023,noviembre,Electronica,16
2023,diciembre,Electronica,16
2024,enero,Electronica,16
2024,febrero,Electronica,16
2024,marzo,Electronica,16
2024,abril,Electronica,17
2024,mayo,Electronica,16
2024,junio,Electronica,16
2024,julio,Electronica,17
2024,agosto,Electronica,18
2024,septiembre,Electronica,19
2024,octubre,Electronica,19
2024,noviembre,Electronica,19
2024,diciembre,Electronica,19
2025,enero,Electronica,19
2025,febrero,Electronica,19
2025,marzo,Electronica,19
2001,enero,Plastica,8
2001,febrero,Plastica,7
2001,marzo,Plastica,7
2001,abril,Plastica,8
2001,mayo,Plastica,8
2001,junio,Plastica,8
2001,julio,Plastica,8
2001,agosto,Plastica,8
2001,septiembre,Plastica,8
2001,octubre,Plastica,8
2001,noviembre,Plastica,8
2001,diciembre,Plastica,7
2002,enero,Plastica,8
2002,febrero,Plastica,8
2002,marzo,Plastica,8
2002,abril,Plastica,8
2002,mayo,Plastica,8
2002,junio,Plastica,8
2002,julio,Plastica,8
2002,agosto,Plastica,8
2002,septiembre,Plastica,9
2002,octubre,Plastica,9
2002,noviembre,Plastica,9
2002,diciembre,Plastica,8
