anio,mes,sector,Produccion,empleados,establecimientos
2016,junio,Confeccionista,407999,406,6
2016,junio,Electronica,1326159,9429,28
2016,junio,Otros,1952458,384,3
2016,junio,Pesquera,1625303,483,3
2016,junio,Plastica,8648316,765,7
2016,junio,Textil,2798118,738,8
2016,julio,Confeccionista,448438,400,6
2016,julio,Electronica,1224491,9505,28
2016,julio,Otros,749727,505,3
2016,julio,Pesquera,858028,479,3
2016,julio,Plastica,8045126,763,7
2016,julio,Textil,2827302,740,8
2016,agosto,Confeccionista,549292,401,6
2016,agosto,Electronica,1458319,10055,28
2016,agosto,Otros,928111,523,3
2016,agosto,Pesquera,943517,472,3
2016,agosto,Plastica,8324038,762,7
2016,agosto,Textil,3004649,732,8
2016,septiembre,Confeccionista,459349,383,6
2016,septiembre,Electronica,1451614,10160,28
2016,septiembre,Otros,1013673,521,3
2016,septiembre,Pesquera,1186181,470,3
2016,septiembre,Plastica,8603148,763,7
2016,septiembre,Textil,2866470,711,8
2016,octubre,Confeccionista,281003,374,6
2016,octubre,Electronica,1246910,9839,28
2016,octubre,Otros,1382200,507,3
2016,octubre,Pesquera,1566628,466,3
2016,octubre,Plastica,8449551,765,7
2016,octubre,Textil,2752536,698,8
2016,noviembre,Confeccionista,324644,371,6
2016,noviembre,Electronica,1458018,9232,28
2016,noviembre,Otros,1010605,460,3
2016,noviembre,Pesquera,2292204,471,3
2016,noviembre,Plastica,7752419,769,7
2016,noviembre,Textil,3168790,699,8
2016,diciembre,Confeccionista,322441,365,6
2016,diciembre,Electronica,653754,7214,28
2016,diciembre,Otros,754858,439,3
2016,diciembre,Pesquera,1914587,490,3
2016,diciembre,Plastica,6570992,797,7
2016,diciembre,Textil,1523007,688,8
2017,enero,Confeccionista,294658,362,6
2017,enero,Electronica,471312,7170,27
2017,enero,Otros,84968,445,3
2017,enero,Pesquera,1796776,499,3
2017,enero,Plastica,8729440,834,7
2017,enero,Textil,1710275,698,8
2017,febrero,Confeccionista,262767,359,6
2017,febrero,Electronica,1124886,7227,28
2017,febrero,Otros,824522,438,3
2017,febrero,Pesquera,1540609,491,3
2017,febrero,Plastica,8437398,830,7
2017,febrero,Textil,2590672,698,8
2017,marzo,Confeccionista,302522,357,6
2017,marzo,Electronica,1432996,7273,28
2017,marzo,Otros,141212,436,3
2017,marzo,Pesquera,1817136,477,3
2017,marzo,Plastica,9497921,809,7
2017,marzo,Textil,3010019,701,8
2017,abril,Confeccionista,260191,357,6
2017,abril,Electronica,1276167,7274,28
2017,abril,Otros,125556,434,3
2017,abril,Pesquera,1323671,477,3
2017,abril,Plastica,8830334,781,7
2017,abril,Textil,2636862,716,8
2017,mayo,Confeccionista,364380,361,6
2017,mayo,Electronica,1507805,7520,28
2017,mayo,Otros,150486,429,3
2017,mayo,Pesquera,1070325,472,3
2017,mayo,Plastica,8896405,759,7
2017,mayo,Textil,2799121,710,8
2017,junio,Confeccionista,309982,334,6
2017,junio,Electronica,1402816,7831,28
2017,junio,Otros,165147,429,3
2017,junio,Pesquera,1359125,468,3
2017,junio,Plastica,8142679,749,7
2017,junio,Textil,2980543,719,8
2017,julio,Confeccionista,338130,335,6
2017,julio,Electronica,1497207,8358,27
2017,julio,Otros,178985,441,3
2017,julio,Pesquera,336118,456,3
2017,julio,Plastica,8354584,734,7
2017,julio,Textil,3242415,734,8
2017,agosto,Confeccionista,351325,336,6
2017,agosto,Electronica,1842333,8772,28
2017,agosto,Otros,158913,435,3
2017,agosto,Pesquera,85575,444,3
2017,agosto,Plastica,9216255,738,7
2017,agosto,Textil,3450068,727,8
2017,septiembre,Confeccionista,333526,332,6
2017,septiembre,Electronica,1619919,8912,28
2017,septiembre,Otros,140842,428,3
2017,septiembre,Pesquera,710849,461,3
2017,septiembre,Plastica,9098484,736,7
2017,septiembre,Textil,2897709,730,8
2017,octubre,Confeccionista,282717,326,6
2017,octubre,Electronica,1714437,9174,27
2017,octubre,Otros,97974,439,3
2017,octubre,Pesquera,1529843,445,3
2017,octubre,Plastica,9680694,737,7
2017,octubre,Textil,2825190,705,8
2017,noviembre,Confeccionista,374939,332,6
2017,noviembre,Electronica,1784303,9343,27
2017,noviembre,Otros,114586,435,3
2017,noviembre,Pesquera,1613570,449,3
2017,noviembre,Plastica,9216157,741,7
2017,noviembre,Textil,3166027,723,8
2017,diciembre,Confeccionista,176271,311,6
2017,diciembre,Electronica,1146795,8085,27
2017,diciembre,Otros,23962,411,3
2017,diciembre,Pesquera,1671218,497,3
2017,diciembre,Plastica,7177781,743,7
2017,diciembre,Textil,1862277,716,8
2018,enero,Confeccionista,288888,328,6
2018,enero,Electronica,843983,8209,27
2018,enero,Otros,75968,422,3
2018,enero,Pesquera,2050001,501,3
2018,enero,Plastica,6783922,771,7
2018,enero,Textil,2227092,722,8
2018,febrero,Confeccionista,335838,330,6
2018,febrero,Electronica,1451177,8679,27
