anio,mes,sector,Produccion
2021,mayo,Electronica,1075187
2021,junio,Electronica,1364564
2021,julio,Electronica,1421617
2021,agosto,Electronica,1311542
2021,septiembre,Electronica,1324373
2021,octubre,Electronica,1103196
2021,noviembre,Electronica,1287282
2021,diciembre,Electronica,1256766
2022,enero,Electronica,774909
2022,febrero,Electronica,1082286
2022,marzo,Electronica,1290560
2022,abril,Electronica,1079659
2022,mayo,Electronica,1477155
2022,junio,Electronica,2038129
2022,julio,Electronica,1740748
2022,agosto,Electronica,1070900
2022,septiembre,Electronica,1177570
2022,octubre,Electronica,1405222
2022,noviembre,Electronica,1566696
2022,diciembre,Electronica,1219116
2023,enero,Electronica,700134
2023,febrero,Electronica,1191030
2023,marzo,Electronica,1725946
2023,abril,Electronica,1333622
2023,mayo,Electronica,1457884
2023,junio,Electronica,1411883
2023,julio,Electronica,1061571
2023,agosto,Electronica,1531782
2023,septiembre,Electronica,1466217
2023,octubre,Electronica,1374657
2023,noviembre,Electronica,1125193
2023,diciembre,Electronica,429113
2024,enero,Electronica,221477
2024,febrero,Electronica,433096
2024,marzo,Electronica,636645
2024,abril,Electronica,612458
2024,mayo,Electronica,588716
2024,junio,Electronica,601136
2024,julio,Electronica,952209
2024,agosto,Electronica,1009405
2024,septiembre,Electronica,1107179
2024,octubre,Electronica,1003368
2024,noviembre,Electronica,1260593
2024,diciembre,Electronica,1099022
2025,enero,Electronica,773676
2025,febrero,Electronica,935562
2025,marzo,Electronica,887363
2013,enero,Otros,2347676
2013,febrero,Otros,1951162
2013,marzo,Otros,2009368
2013,abril,Otros,2451806
2013,mayo,Otros,2956661
2013,junio,Otros,3135748
2013,julio,Otros,4580512
2013,agosto,Otros,3916906
2013,septiembre,Otros,3115026
2013,octubre,Otros,1818850
2013,noviembre,Otros,3491840
2013,diciembre,Otros,2390384
2014,enero,Otros,2723714
2014,febrero,Otros,2008138
2014,marzo,Otros,2576382
2014,abril,Otros,3606334
2014,mayo,Otros,3376108
2014,junio,Otros,4029703
2014,julio,Otros,3907903
2014,agosto,Otros,4115802
2014,septiembre,Otros,3865077
2014,octubre,Otros,3933395
2014,noviembre,Otros,3548094
2014,diciembre,Otros,2326895
2015,enero,Otros,605296
2015,febrero,Otros,2502838
2015,marzo,Otros,2784246
2015,abril,Otros,2974568
2015,mayo,Otros,1645753
2015,junio,Otros,2243848
2015,julio,Otros,2495916
2015,agosto,Otros,1865512
2015,septiembre,Otros,2195196
2015,octubre,Otros,232369
2015,noviembre,Otros,3059314
2015,diciembre,Otros,2451078
2016,enero,Otros,629243
2016,febrero,Otros,2473052
2016,marzo,Otros,2382011
2016,abril,Otros,3184760
2016,mayo,Otros,2019817
2016,junio,Otros,1952458
2016,julio,Otros,749727
2016,agosto,Otros,928111
2016,septiembre,Otros,1013673
2016,octubre,Otros,1382200
2016,noviembre,Otros,1010605
2016,diciembre,Otros,754858
2017,enero,Otros,84968
2017,febrero,Otros,824522
2017,marzo,Otros,141212
2017,abril,Otros,125556
2017,mayo,Otros,150486
2017,junio,Otros,165147
2017,julio,Otros,178985
2017,agosto,Otros,158913
2017,septiembre,Otros,140842
2017,octubre,Otros,97974
2017,noviembre,Otros,114586
2017,diciembre,Otros,23962
2018,enero,Otros,75968
2018,febrero,Otros,83668
2018,marzo,Otros,111312
2018,abril,Otros,104260
2018,mayo,Otros,107794
2018,junio,Otros,106476
2018,julio,Otros,104638
2018,agosto,Otros,96288
2018,septiembre,Otros,85640
2018,octubre,Otros,29010
2018,noviembre,Otros,56288
2018,diciembre,Otros,4056
2019,enero,Otros,31302
2019,febrero,Otros,66238
2019,marzo,Otros,81114
2019,abril,Otros,92904
2019,mayo,Otros,93704
2019,junio,Otros,86334
2019,julio,Otros,109590
2019,agosto,Otros,83586
2019,septiembre,Otros,58716
2019,octubre,Otros,21738
2019,noviembre,Otros,11280
2019,diciembre,Otros,1170
2020,enero,Otros,8589
2020,febrero,Otros,7884
2020,marzo,Otros,5400
2020,abril,Otros,58716
2020,mayo,Otros,2184
2020,junio,Otros,5124
2020,julio,Otros,8856
2020,agosto,Otros,5060
2020,septiembre,Otros,11376
2020,octubre,Otros,12064
2020,noviembre,Otros,11292
2020,diciembre,Otros,11160
2021,enero,Otros,6936
2021,febrero,Otros,9336
2021,marzo,Otros,11196
2021,abril,Otros,7920
2021,mayo,Otros,10788
2021,junio,Otros,11310
2021,julio,Otros,10581
2021,agosto,Otros,10236
2021,septiembre,Otros,10848
2021,octubre,Otros,9648
2021,noviembre,Otros,14208
2021,diciembre,Otros,8613
2022,enero,Otros,4656
2022,febrero,Otros,10212
2022,marzo,Otros,11364
2022,abril,Otros,9924
2022,mayo,Otros,11136
2022,junio,Otros,13105
2022,julio,Otros,13860
2022,agosto,Otros,9284
2022,septiembre,Otros,12122
2022,octubre,Otros,11448
2022,noviembre,Otros,10797
2022,diciembre,Otros,9935
2023,enero,Otros,6924
2023,febrero,Otros,9228
2023,marzo,Otros,13308
2023,abril,Otros,9612
2023,mayo,Otros,8832
2023,junio,Otros,10508
2023,julio,Otros,7668
2023,agosto,Otros,16260
2023,septiembre,Otros,12276
2023,octubre,Otros,10944
2023,noviembre,Otros,12492
2023,diciembre,Otros,6564
2024,enero,Otros,3384
2024,febrero,Otros,6348
2024,marzo,Otros,8605
2024,abril,Otros,9900
2024,mayo,Otros,7140
2024,junio,Otros,8291
2024,julio,Otros,10536
2024,agosto,Otros,11832
2024,septiembre,Otros,10740
2024,octubre,Otros,12672
2024,noviembre,Otros,11712
2024,diciembre,Otros,5400
2025,enero,Otros,6600
2025,febrero,Otros,9672
2025,marzo,Otros,8844
2013,enero,Pesquera,2056519
2013,febrero,Pesquera,2016742
2013,marzo,Pesquera,1658171
2013,abril,Pesquera,2612904
2013,mayo,Pesquera,1993512
2013,junio,Pesquera,1168441
2013,julio,Pesquera,1005065
2013,agosto,Pesquera,406121
2013,septiembre,Pesquera,594932
2013,octubre,Pesquera,1220778
2013,noviembre,Pesquera,1324136
2013,diciembre,Pesquera,1316084
2014,enero,Pesquera,1539932
2014,febrero,Pesquera,1670785
2014,marzo,Pesquera,1750969
2014,abril,Pesquera,2488762
2014,mayo,Pesquera,2360634
2014,junio,Pesquera,1259027
2014,julio,Pesquera,199647
2014,agosto,Pesquera,849743
2014,septiembre,Pesquera,937891
2014,octubre,Pesquera,1633869
2014,noviembre,Pesquera,1166999
2014,diciembre,Pesquera,1381679
2015,enero,Pesquera,1993768
2015,febrero,Pesquera,1833484
2015,marzo,Pesquera,1604794
2015,abril,Pesquera,1311268
2015,mayo,Pesquera,1588143
2015,junio,Pesquera,1421880
2015,julio,Pesquera,1627258
2015,agosto,Pesquera,1046034
2015,septiembre,Pesquera,1341353
2015,octubre,Pesquera,1397406
2015,noviembre,Pesquera,1626093
2015,diciembre,Pesquera,1921772
2016,enero,Pesquera,2151149
2016,febrero,Pesquera,2042445
2016,marzo,Pesquera,1064138
2016,abril,Pesquera,1131738
2016,mayo,Pesquera,1702250
2016,junio,Pesquera,1625303
2016,julio,Pesquera,858028
2016,agosto,Pesquera,943517
2016,septiembre,Pesquera,1186181
2016,octubre,Pesquera,1566628
2016,noviembre,Pesquera,2292204
2016,diciembre,Pesquera,1914587
2017,enero,Pesquera,1796776
2017,febrero,Pesquera,1540609
2017,marzo,Pesquera,1817136
2017,abril,Pesquera,1323671
2017,mayo,Pesquera,1070325
2017,junio,Pesquera,1359125
2017,julio,Pesquera,336118
2017,agosto,Pesquera,85575
2017,septiembre,Pesquera,710849
2017,octubre,Pesquera,1529843
2017,noviembre,Pesquera,1613570
2017,diciembre,Pesquera,1671218
2018,enero,Pesquera,2050001
2018,febrero,Pesquera,1218200
2018,marzo,Pesquera,1249641
2018,abril,Pesquera,1664986
2018,mayo,Pesquera,1792147
2018,junio,Pesquera,1390240
2018,julio,Pesquera,1107875
2018,agosto,Pesquera,1318634
2018,septiembre,Pesquera,1533436
2018,octubre,Pesquera,1367134
2018,noviembre,Pesquera,2004289
2018,diciembre,Pesquera,1204108
2019,enero,Pesquera,2168772
2019,febrero,Pesquera,1806644
2019,marzo,Pesquera,1700333
2019,abril,Pesquera,1752975
2019,mayo,Pesquera,1671495
2019,junio,Pesquera,1101290
2019,julio,Pesquera,1200154
2019,agosto,Pesquera,717461
2019,septiembre,Pesquera,153983
2019,octubre,Pesquera,1462599
2019,noviembre,Pesquera,1421721
2019,diciembre,Pesquera,1316945
2020,enero,Pesquera,1471039
2020,febrero,Pesquera,1663602
2020,marzo,Pesquera,1206789
2020,abril,Pesquera,1284353
2020,mayo,Pesquera,1600866
2020,junio,Pesquera,1007177
2020,julio,Pesquera,1327465
2020,agosto,Pesquera,1441705
2020,septiembre,Pesquera,1192348
2020,octubre,Pesquera,1728487
2020,noviembre,Pesquera,981841
2020,diciembre,Pesquera,1533052
2021,enero,Pesquera,1578254
2021,febrero,Pesquera,1728475
2021,marzo,Pesquera,1198420
2021,abril,Pesquera,2255977
2021,mayo,Pesquera,1544604
2021,junio,Pesquera,446124
2021,julio,Pesquera,255910
2021,agosto,Pesquera,261748
2021,septiembre,Pesquera,708315
2021,octubre,Pesquera,1454763
2021,noviembre,Pesquera,1807531
2021,diciembre,Pesquera,1470966
2022,enero,Pesquera,2085364
2022,febrero,Pesquera,865154
2022,marzo,Pesquera,1778520
2022,abril,Pesquera,1234831
2022,mayo,Pesquera,1547812
2022,junio,Pesquera,765805
2022,julio,Pesquera,930505
2022,agosto,Pesquera,329514
2022,septiembre,Pesquera,190618
2022,octubre,Pesquera,192234
2022,noviembre,Pesquera,278634
2022,diciembre,Pesquera,329514
2023,enero,Pesquera,455631
2023,febrero,Pesquera,820804
2023,marzo,Pesquera,111496
2023,abril,Pesquera,772639
2023,mayo,Pesquera,629728
2023,junio,Pesquera,503241
2023,julio,Pesquera,426511
2023,agosto,Pesquera,772639
2023,septiembre,Pesquera,13803
2023,octubre,Pesquera,390136
2023,noviembre,Pesquera,335344
2023,diciembre,Pesquera,179065
2024,enero,Pesquera,368277
2024,febrero,Pesquera,858039
2024,marzo,Pesquera,782770
2024,abril,Pesquera,184588
2024,mayo,Pesquera,379493
2024,junio,Pesquera,434017
2024,julio,Pesquera,858039
2024,agosto,Pesquera,252885
2024,septiembre,Pesquera,441286
2024,octubre,Pesquera,441286
2024,noviembre,Pesquera,836447
2024,diciembre,Pesquera,291230
2025,enero,Pesquera,253115
2025,febrero,Pesquera,253115
2025,marzo,Pesquera,513161
2013,enero,Plastica,7415631
2013,febrero,Plastica,7822623
