anio,mes,sector,Produccion,empleados,establecimientos
2005,octubre,Confeccionista,,541,6
2005,octubre,Electronica,,3405,18
2005,octubre,Otros,,126,3
2005,octubre,Pesquera,,118,1
2005,octubre,Plastica,,570,8
2005,octubre,Textil,,557,8
2005,noviembre,Confeccionista,,550,6
2005,noviembre,Electronica,,3818,22
2005,noviembre,Otros,,127,2
2005,noviembre,Pesquera,,269,2
2005,noviembre,Plastica,,615,9
2005,noviembre,Textil,,576,8
2005,diciembre,Confeccionista,,546,6
2005,diciembre,Electronica,,3549,21
2005,diciembre,Otros,,128,2
2005,diciembre,Pesquera,,41,1
2005,diciembre,Plastica,,606,8
2005,diciembre,Textil,,587,7
2006,enero,Confeccionista,,552,6
2006,enero,Electronica,,3052,20
2006,enero,Otros,,125,4
2006,enero,Pesquera,,285,2
2006,enero,Plastica,,696,9
2006,enero,Textil,,585,8
2006,febrero,Confeccionista,,596,6
2006,febrero,Electronica,,3312,20
2006,febrero,Otros,,121,4
2006,febrero,Pesquera,,283,2
2006,febrero,Plastica,,701,9
2006,febrero,Textil,,579,8
2006,marzo,Confeccionista,,658,6
2006,marzo,Electronica,,3482,20
2006,marzo,Otros,,125,4
2006,marzo,Pesquera,,297,2
2006,marzo,Plastica,,650,9
2006,marzo,Textil,,574,8
2006,abril,Confeccionista,,651,6
2006,abril,Electronica,,3711,20
2006,abril,Otros,,117,4
2006,abril,Pesquera,,304,2
2006,abril,Plastica,,639,9
2006,abril,Textil,,557,8
2006,mayo,Confeccionista,,654,6
2006,mayo,Electronica,,3688,20
2006,mayo,Otros,,113,4
2006,mayo,Pesquera,,312,2
2006,mayo,Plastica,,661,9
2006,mayo,Textil,,558,8
2006,junio,Confeccionista,,660,6
2006,junio,Electronica,,3892,20
2006,junio,Otros,,115,4
2006,junio,Pesquera,,307,2
2006,junio,Plastica,,627,9
2006,junio,Textil,,561,8
2006,julio,Confeccionista,,662,6
2006,julio,Electronica,,3878,20
2006,julio,Otros,,116,4
2006,julio,Pesquera,,306,2
2006,julio,Plastica,,638,9
2006,julio,Textil,,567,8
2006,agosto,Confeccionista,,677,6
2006,agosto,Electronica,,4164,20
2006,agosto,Otros,,112,4
2006,agosto,Pesquera,,306,2
2006,agosto,Plastica,,661,9
2006,agosto,Textil,,567,8
2006,septiembre,Confeccionista,,672,6
2006,septiembre,Electronica,,4359,20
2006,septiembre,Otros,,55,4
2006,septiembre,Pesquera,,301,2
2006,septiembre,Plastica,,667,9
2006,septiembre,Textil,,576,8
2006,octubre,Confeccionista,,656,6
2006,octubre,Electronica,,4510,20
2006,octubre,Otros,,112,4
2006,octubre,Pesquera,,304,2
2006,octubre,Plastica,,678,9
2006,octubre,Textil,,596,8
2006,noviembre,Confeccionista,,673,6
2006,noviembre,Electronica,,4451,20
2006,noviembre,Otros,,114,4
2006,noviembre,Pesquera,,295,2
2006,noviembre,Plastica,,706,9
2006,noviembre,Textil,,600,8
2006,diciembre,Confeccionista,,668,6
2006,diciembre,Electronica,,3317,18
2006,diciembre,Otros,,112,4
2006,diciembre,Pesquera,,279,2
2006,diciembre,Plastica,,647,9
2006,diciembre,Textil,,619,8
2007,enero,Confeccionista,,664,6
2007,enero,Electronica,,2814,20
2007,enero,Otros,,113,4
2007,enero,Pesquera,,286,2
2007,enero,Plastica,,608,9
2007,enero,Textil,,613,8
2007,febrero,Confeccionista,,689,6
2007,febrero,Electronica,,2865,20
2007,febrero,Otros,,115,4
2007,febrero,Pesquera,,286,2
2007,febrero,Plastica,,612,9
2007,febrero,Textil,,616,8
2007,marzo,Confeccionista,,700,7
2007,marzo,Electronica,,3345,20
2007,marzo,Otros,,119,4
2007,marzo,Pesquera,,294,2
2007,marzo,Plastica,,649,9
2007,marzo,Textil,,609,8
2007,abril,Confeccionista,,754,7
2007,abril,Electronica,,3457,20
2007,abril,Otros,,120,4
2007,abril,Pesquera,,292,2
2007,abril,Plastica,,664,9
2007,abril,Textil,,616,8
2007,mayo,Confeccionista,,767,7
2007,mayo,Electronica,,3818,20
2007,mayo,Otros,,121,4
2007,mayo,Pesquera,,295,2
2007,mayo,Plastica,,651,9
2007,mayo,Textil,,617,8
