anio,mes,sector,empleados
2021,diciembre,Confeccionista,270
2022,enero,Confeccionista,290
2022,febrero,Confeccionista,294
2022,marzo,Confeccionista,296
2022,abril,Confeccionista,297
2022,mayo,Confeccionista,306
2022,junio,Confeccionista,292
2022,julio,Confeccionista,297
2022,agosto,Confeccionista,294
2022,septiembre,Confeccionista,277
2022,octubre,Confeccionista,266
2022,noviembre,Confeccionista,273
2022,diciembre,Confeccionista,270
2023,enero,Confeccionista,297
2023,febrero,Confeccionista,292
2023,marzo,Confeccionista,301
2023,abril,Confeccionista,296
2023,mayo,Confeccionista,300
2023,junio,Confeccionista,299
2023,julio,Confeccionista,302
2023,agosto,Confeccionista,300
2023,septiembre,Confeccionista,299
2023,octubre,Confeccionista,284
2023,noviembre,Confeccionista,196
2023,diciembre,Confeccionista,269
2024,enero,Confeccionista,259
2024,febrero,Confeccionista,261
2024,marzo,Confeccionista,265
2024,abril,Confeccionista,258
2024,mayo,Confeccionista,256
2024,junio,Confeccionista,247
2024,julio,Confeccionista,247
2024,agosto,Confeccionista,245
2024,septiembre,Confeccionista,142
2024,octubre,Confeccionista,128
2024,noviembre,Confeccionista,237
2024,diciembre,Confeccionista,223
2025,enero,Confeccionista,231
2025,febrero,Confeccionista,234
2025,marzo,Confeccionista,238
2001,enero,Electronica,2652
2001,febrero,Electronica,2624
2001,marzo,Electronica,2629
2001,abril,Electronica,2249
2001,mayo,Electronica,2323
2001,junio,Electronica,2374
2001,julio,Electronica,2327
2001,agosto,Electronica,2637
2001,septiembre,Electronica,2587
2001,octubre,Electronica,2476
2001,noviembre,Electronica,2483
2001,diciembre,Electronica,1911
2002,enero,Electronica,1799
2002,febrero,Electronica,1782
2002,marzo,Electronica,1667
2002,abril,Electronica,1552
2002,mayo,Electronica,1469
2002,junio,Electronica,1396
2002,julio,Electronica,1340
2002,agosto,Electronica,1325
2002,septiembre,Electronica,1303
2002,octubre,Electronica,1276
2002,noviembre,Electronica,1267
2002,diciembre,Electronica,1254
2003,enero,Electronica,1252
2003,febrero,Electronica,1251
2003,marzo,Electronica,1226
2003,abril,Electronica,1248
2003,mayo,Electronica,1214
2003,junio,Electronica,1105
2003,julio,Electronica,1116
2003,agosto,Electronica,1207
2003,septiembre,Electronica,1277
2003,octubre,Electronica,1419
2003,noviembre,Electronica,1402
2003,diciembre,Electronica,1271
2004,enero,Electronica,1349
2004,febrero,Electronica,1359
2004,marzo,Electronica,1504
2004,abril,Electronica,1559
2004,mayo,Electronica,1688
2004,junio,Electronica,1756
2004,julio,Electronica,1706
2004,agosto,Electronica,2110
2004,septiembre,Electronica,2573
2004,octubre,Electronica,2704
2004,noviembre,Electronica,2590
2004,diciembre,Electronica,1964
2005,enero,Electronica,1766
2005,febrero,Electronica,1775
2005,marzo,Electronica,1934
2005,abril,Electronica,1985
2005,mayo,Electronica,2229
2005,junio,Electronica,2530
2005,julio,Electronica,2638
2005,agosto,Electronica,3044
2005,septiembre,Electronica,3373
2005,octubre,Electronica,3405
2005,noviembre,Electronica,3818
2005,diciembre,Electronica,3549
2006,enero,Electronica,3052
2006,febrero,Electronica,3312
2006,marzo,Electronica,3482
2006,abril,Electronica,3711
2006,mayo,Electronica,3688
2006,junio,Electronica,3892
2006,julio,Electronica,3878
2006,agosto,Electronica,4164
2006,septiembre,Electronica,4359
2006,octubre,Electronica,4510
2006,noviembre,Electronica,4451
2006,diciembre,Electronica,3317
2007,enero,Electronica,2814
2007,febrero,Electronica,2865
2007,marzo,Electronica,3345
2007,abril,Electronica,3457
2007,mayo,Electronica,3818
