anio,mes,Produccion,empleados,establecimientos,sector_Electronica,Produccion_predicha,mes_num,fecha,Sector
2007,enero,,664,6,False,514248,01,2007-01-01,Confeccionista (azul)
2007,enero,,2814,20,True,313799,01,2007-01-01,Electrónica (naranja)
2007,febrero,,689,6,False,518966,02,2007-02-01,Confeccionista (azul)
2007,febrero,,2865,20,True,323425,02,2007-02-01,Electrónica (naranja)
2007,marzo,,700,7,False,517961,03,2007-03-01,Confeccionista (azul)
2007,marzo,,3345,20,True,414029,03,2007-03-01,Electrónica (naranja)
2007,abril,,3457,20,True,435169,04,2007-04-01,Electrónica (naranja)
2007,abril,,754,7,False,528154,04,2007-04-01,Confeccionista (azul)
2007,mayo,,767,7,False,530608,05,2007-05-01,Confeccionista (azul)
2007,mayo,,3818,20,True,503311,05,2007-05-01,Electrónica (naranja)
2007,junio,,737,7,False,524945,06,2007-06-01,Confeccionista (azul)
2007,junio,,4323,19,True,601714,06,2007-06-01,Electrónica (naranja)
2007,julio,,735,7,False,524568,07,2007-07-01,Confeccionista (azul)
2007,julio,,4811,20,True,690746,07,2007-07-01,Electrónica (naranja)
2007,agosto,,4987,20,True,723967,08,2007-08-01,Electrónica (naranja)
2007,agosto,,731,7,False,523813,08,2007-08-01,Confeccionista (azul)
2007,septiembre,,5138,19,True,755551,09,2007-09-01,Electrónica (naranja)
2007,septiembre,,732,7,False,524002,09,2007-09-01,Confeccionista (azul)
2007,octubre,,740,7,False,525512,10,2007-10-01,Confeccionista (azul)
2007,octubre,,5149,19,True,757628,10,2007-10-01,Electrónica (naranja)
2007,noviembre,,732,7,False,524002,11,2007-11-01,Confeccionista (azul)
2007,noviembre,,5252,19,True,777069,11,2007-11-01,Electrónica (naranja)
2007,diciembre,,723,7,False,522303,12,2007-12-01,Confeccionista (azul)
2007,diciembre,,4164,19,True,571702,12,2007-12-01,Electrónica (naranja)
2008,enero,,707,7,False,508034,01,2008-01-01,Confeccionista (azul)
2008,enero,,3549,20,True,441287,01,2008-01-01,Electrónica (naranja)
2008,febrero,,3732,20,True,475829,02,2008-02-01,Electrónica (naranja)
2008,febrero,,710,7,False,508601,02,2008-02-01,Confeccionista (azul)
2008,marzo,,718,7,False,510111,03,2008-03-01,Confeccionista (azul)
2008,marzo,,3813,20,True,491119,03,2008-03-01,Electrónica (naranja)
2008,abril,,727,7,False,511809,04,2008-04-01,Confeccionista (azul)
2008,abril,,3909,20,True,509239,04,2008-04-01,Electrónica (naranja)
2008,mayo,,722,6,False,513947,05,2008-05-01,Confeccionista (azul)
2008,mayo,,4243,20,True,572284,05,2008-05-01,Electrónica (naranja)
2008,junio,,4707,21,True,656786,06,2008-06-01,Electrónica (naranja)
2008,junio,,722,6,False,513947,06,2008-06-01,Confeccionista (azul)
2008,julio,,703,6,False,510361,07,2008-07-01,Confeccionista (azul)
2008,julio,,5000,21,True,712091,07,2008-07-01,Electrónica (naranja)
2008,agosto,,668,6,False,503754,08,2008-08-01,Confeccionista (azul)
2008,agosto,,5055,21,True,722473,08,2008-08-01,Electrónica (naranja)
2008,septiembre,,630,5,False,499663,09,2008-09-01,Confeccionista (azul)
2008,septiembre,,5175,21,True,745124,09,2008-09-01,Electrónica (naranja)
2008,octubre,,600,5,False,494000,10,2008-10-01,Confeccionista (azul)
2008,octubre,,5181,21,True,746256,10,2008-10-01,Electrónica (naranja)
2008,noviembre,,600,5,False,494000,11,2008-11-01,Confeccionista (azul)
2008,noviembre,,5063,21,True,723983,11,2008-11-01,Electrónica (naranja)
2008,diciembre,,595,5,False,493057,12,2008-12-01,Confeccionista (azul)
2008,diciembre,,3962,21,True,516162,12,2008-12-01,Electrónica (naranja)
2009,enero,,597,6,False,479104,01,2009-01-01,Confeccionista (azul)
2009,enero,,3493,21,True,416387,01,2009-01-01,Electrónica (naranja)
2009,febrero,,593,6,False,478349,02,2009-02-01,Confeccionista (azul)
2009,febrero,,2999,21,True,323141,02,2009-02-01,Electrónica (naranja)
2009,marzo,,2916,22,True,304392,03,2009-03-01,Electrónica (naranja)
2009,marzo,,589,6,False,477594,03,2009-03-01,Confeccionista (azul)
2009,abril,,570,6,False,474008,04,2009-04-01,Confeccionista (azul)
2009,abril,,2905,22,True,302316,04,2009-04-01,Electrónica (naranja)
2009,mayo,,564,6,False,472875,05,2009-05-01,Confeccionista (azul)
2009,mayo,,2979,23,True,313203,05,2009-05-01,Electrónica (naranja)
2009,junio,,564,6,False,472875,06,2009-06-01,Confeccionista (azul)
2009,junio,,2912,23,True,300556,06,2009-06-01,Electrónica (naranja)
2009,julio,,3028,23,True,322452,07,2009-07-01,Electrónica (naranja)
2009,julio,,563,6,False,472687,07,2009-07-01,Confeccionista (azul)
2009,agosto,,566,6,False,473253,08,2009-08-01,Confeccionista (azul)
2009,agosto,,3411,23,True,394746,08,2009-08-01,Electrónica (naranja)
2009,septiembre,,556,6,False,471365,09,2009-09-01,Confeccionista (azul)
2009,septiembre,,3917,22,True,493338,09,2009-09-01,Electrónica (naranja)
2009,octubre,,577,5,False,478411,10,2009-10-01,Confeccionista (azul)
2009,octubre,,4367,24,True,572116,10,2009-10-01,Electrónica (naranja)
2009,noviembre,,4657,23,True,629937,11,2009-11-01,Electrónica (naranja)
2009,noviembre,,577,5,False,478411,11,2009-11-01,Confeccionista (azul)
2009,diciembre,,4293,21,True,567392,12,2009-12-01,Electrónica (naranja)
2009,diciembre,,574,5,False,477844,12,2009-12-01,Confeccionista (azul)
2010,enero,,572,7,False,460056,01,2010-01-01,Confeccionista (azul)
2010,enero,,4376,24,True,562566,01,2010-01-01,Electrónica (naranja)
2010,febrero,,574,7,False,460433,02,2010-02-01,Confeccionista (azul)
2010,febrero,,4590,24,True,602960,02,2010-02-01,Electrónica (naranja)
2010,marzo,,580,7,False,461566,03,2010-03-01,Confeccionista (azul)
2010,marzo,,4681,24,True,620137,03,2010-03-01,Electrónica (naranja)
2010,abril,,575,7,False,460622,04,2010-04-01,Confeccionista (azul)
2010,abril,,4853,25,True,649522,04,2010-04-01,Electrónica (naranja)
2010,mayo,,571,7,False,459867,05,2010-05-01,Confeccionista (azul)
2010,mayo,,5232,25,True,721061,05,2010-05-01,Electrónica (naranja)
2010,junio,,571,7,False,459867,06,2010-06-01,Confeccionista (azul)
2010,junio,,5525,25,True,776366,06,2010-06-01,Electrónica (naranja)
2010,julio,,567,7,False,459112,07,2010-07-01,Confeccionista (azul)
2010,julio,,5658,25,True,801471,07,2010-07-01,Electrónica (naranja)
2010,agosto,,566,7,False,458923,08,2010-08-01,Confeccionista (azul)
2010,agosto,,6491,25,True,958706,08,2010-08-01,Electrónica (naranja)
2010,septiembre,,7359,25,True,1122547,09,2010-09-01,Electrónica (naranja)
2010,septiembre,,557,6,False,460306,09,2010-09-01,Confeccionista (azul)
2010,octubre,,560,7,False,457791,10,2010-10-01,Confeccionista (azul)
2010,octubre,,7673,25,True,1181816,10,2010-10-01,Electrónica (naranja)
2010,noviembre,,556,7,False,457036,11,2010-11-01,Confeccionista (azul)
2010,noviembre,,7362,22,True,1132357,11,2010-11-01,Electrónica (naranja)
2010,diciembre,,419,5,False,437339,12,2010-12-01,Confeccionista (azul)
2010,diciembre,,7402,22,True,1139908,12,2010-12-01,Electrónica (naranja)
2011,enero,,6080,21,True,882204,01,2011-01-01,Electrónica (naranja)
2011,enero,,531,6,False,444150,01,2011-01-01,Confeccionista (azul)
2011,febrero,,552,6,False,448114,02,2011-02-01,Confeccionista (azul)
2011,febrero,,6490,22,True,956513,02,2011-02-01,Electrónica (naranja)
2011,marzo,,544,6,False,446604,03,2011-03-01,Confeccionista (azul)
2011,marzo,,6543,22,True,966517,03,2011-03-01,Electrónica (naranja)
2011,abril,,547,6,False,447170,04,2011-04-01,Confeccionista (azul)
2011,abril,,7065,22,True,1065048,04,2011-04-01,Electrónica (naranja)
2011,mayo,,7859,22,True,1214921,05,2011-05-01,Electrónica (naranja)
2011,mayo,,480,6,False,434523,05,2011-05-01,Confeccionista (azul)
2011,junio,,8820,23,True,1393235,06,2011-06-01,Electrónica (naranja)
2011,junio,,481,6,False,434712,06,2011-06-01,Confeccionista (azul)
2011,julio,,462,5,False,434207,07,2011-07-01,Confeccionista (azul)
2011,julio,,9523,23,True,1525931,07,2011-07-01,Electrónica (naranja)
2011,agosto,,536,6,False,445094,08,2011-08-01,Confeccionista (azul)
2011,agosto,,9853,23,True,1588221,08,2011-08-01,Electrónica (naranja)
2011,septiembre,,542,6,False,446226,09,2011-09-01,Confeccionista (azul)
2011,septiembre,,10434,23,True,1697889,09,2011-09-01,Electrónica (naranja)
2011,octubre,,426,5,False,427412,10,2011-10-01,Confeccionista (azul)
2011,octubre,,10835,23,True,1773580,10,2011-10-01,Electrónica (naranja)
2011,noviembre,,10825,23,True,1771693,11,2011-11-01,Electrónica (naranja)
2011,noviembre,,419,5,False,426091,11,2011-11-01,Confeccionista (azul)
2011,diciembre,,413,5,False,424958,12,2011-12-01,Confeccionista (azul)
2011,diciembre,,10215,24,True,1653470,12,2011-12-01,Electrónica (naranja)
2012,enero,,401,6,False,408363,01,2012-01-01,Confeccionista (azul)
2012,enero,,8201,23,True,1265146,01,2012-01-01,Electrónica (naranja)
2012,febrero,,418,6,False,411572,02,2012-02-01,Confeccionista (azul)
2012,febrero,,8590,23,True,1338573,02,2012-02-01,Electrónica (naranja)
2012,marzo,,9032,24,True,1418922,03,2012-03-01,Electrónica (naranja)
2012,marzo,,430,6,False,413837,03,2012-03-01,Confeccionista (azul)
2012,abril,,432,6,False,414215,04,2012-04-01,Confeccionista (azul)
2012,abril,,9779,24,True,1559923,04,2012-04-01,Electrónica (naranja)
2012,mayo,,430,6,False,413837,05,2012-05-01,Confeccionista (azul)
2012,mayo,,10080,25,True,1613658,05,2012-05-01,Electrónica (naranja)
2012,junio,,430,6,False,413837,06,2012-06-01,Confeccionista (azul)
2012,junio,,10688,26,True,1725340,06,2012-06-01,Electrónica (naranja)
2012,julio,,424,6,False,412705,07,2012-07-01,Confeccionista (azul)
2012,julio,,11101,26,True,1803297,07,2012-07-01,Electrónica (naranja)
2012,agosto,,426,6,False,413082,08,2012-08-01,Confeccionista (azul)
2012,agosto,,11681,27,True,1909695,08,2012-08-01,Electrónica (naranja)
2012,septiembre,,422,6,False,412327,09,2012-09-01,Confeccionista (azul)
2012,septiembre,,12155,27,True,1999165,09,2012-09-01,Electrónica (naranja)
2012,octubre,,425,6,False,412893,10,2012-10-01,Confeccionista (azul)
2012,octubre,,12271,27,True,2021061,10,2012-10-01,Electrónica (naranja)
2012,noviembre,,428,6,False,413460,11,2012-11-01,Confeccionista (azul)
2012,noviembre,,12632,27,True,2089202,11,2012-11-01,Electrónica (naranja)
2012,diciembre,,429,6,False,413648,12,2012-12-01,Confeccionista (azul)
2012,diciembre,,11207,27,True,1820224,12,2012-12-01,Electrónica (naranja)
